id	desc	common.n	target.n	p-value	genes	p-adjust
Translocation	Translocation	6	14	1.4920761623653937e-06	b3836, b0627, b3300, b3838, b3839, b3981	1.464947504867841e-05
4Fe-4S	4Fe-4S	14	112	4.040693159262652e-06	b3990, b0894, b1588, b2481, b1671, b2996, b3894, b1474, b4072, b2205, b0972, b1587, b2997, b2206	3.636623843336386e-05
Methylation	Methylation	7	25	5.259560725484248e-06	b3983, b3297, b3313, b3342, b3986, b3636, b3320	4.369481218094606e-05
Iron-sulfur	Iron-sulfur	15	142	1.4791564636432737e-05	b3990, b0894, b1588, b2481, b1671, b2996, b3894, b1474, b4072, b2205, b0972, b1587, b0286, b2997, b2206	0.00011410635576676683
Signal	Signal	31	487	2.143860645939597e-05	b0152, b0939, b2617, b0123, b3017, b1474, b0324, b0286, b2997, b1872, b2817, b2205, b0972, b2435, b0997, b1588, b2043, b1671, b0926, b1319, b4072, b0742, b1424, b2206, b0894, b2996, b3894, b1587, b0177, b1971, b1019	0.000154357966507651
Acetylation	Acetylation	12	100	3.1324565965011687e-05	b3317, b4202, b3303, b3936, b3308, b3305, b3986, b4200, b3342, b3985, b1719, b4203	0.0002114408202638289
Antibiotic resistance	Antibiotic resistance	9	68	0.00014966972953738754	b3319, b3315, b3303, b3311, b3296, b2254, b3305, b3342, b1719	0.0009508429876492856
Iron	Iron	18	245	0.00026914839761188074	b0152, b3990, b0894, b1588, b2481, b1671, b2996, b3894, b1474, b4072, b2205, b0972, b2687, b1587, b0286, b2997, b1019, b2206	0.0016148903856712845
Selenocysteine	Selenocysteine	2	3	0.0025652782661276926	b3894, b1474	0.014581581723252147
Oxidoreductase	Oxidoreductase	19	342	0.005203028176684817	b2481, b0123, b1474, b0286, b2997, b1872, b2660, b0972, b0997, b1588, b4072, b3924, b2206, b0894, b2996, b3894, b1587, b1971, b1019	0.028096352154098014
Transcription termination	Transcription termination	2	5	0.008222454583805291	b3296, b3319	0.0422869092881415

