id	desc	common.n	target.n	p-value	genes	p-adjust
GO:0043546	molybdopterin cofactor binding	9	18	5.181848341178373e-10	b1588, b1587, b1474, b1872, b2206, b3894, b1971, b0894, b0997	1.276619000417581e-08
GO:0015935	small ribosomal subunit	6	6	6.045531991631354e-10	b3296, b3307, b2609, b3298, b3321, b0023	1.3652826414434142e-08
GO:0000049	tRNA binding	13	53	2.2759678272224905e-09	b3984, b3341, b3313, b3307, b3185, b3342, b3298, b3308, b3316, b3321, b3636, b3230, b1719	4.744517547517653e-08
GO:0070181	small ribosomal subunit rRNA binding	6	7	4.129244160888836e-09	b3311, b4200, b3165, b4202, b3297, b0023	7.993036911434818e-08
GO:0048027	mRNA 5'-UTR binding	6	8	1.6116545607268187e-08	b3231, b3319, b4200, b4202, b3296, b1719	2.911722573046452e-07
GO:0030151	molybdenum ion binding	7	14	4.933038146732596e-08	b1588, b1587, b1474, b2206, b1872, b0894, b0997	8.355333361028335e-07
GO:0065002	intracellular protein transmembrane transport	6	10	1.1508703029987512e-07	b3839, b3981, b0627, b3300, b3836, b3838	1.8346226594862447e-06
GO:0008320	protein transmembrane transporter activity	5	6	1.241693290281162e-07	b3839, b3981, b0627, b3300, b3836	1.8694382314788605e-06
GO:0030288	outer membrane-bounded periplasmic space	21	193	1.4220139884367537e-07	b1587, b2435, b0152, b2817, b1971, b1588, b1494, b0926, b1424, b1474, b2206, b0286, b0939, b0894, b3017, b0742, b1872, b1671, b0123, b1019, b0997	2.0282410045597905e-06
GO:0033281	TAT protein transport complex	4	4	7.375090025984436e-07	b0627, b3839, b3838, b3836	9.99324698520891e-06
GO:0015934	large ribosomal subunit	4	4	7.375090025984436e-07	b3986, b3985, b3319, b3315	9.517378081151343e-06
GO:0043953	protein transport by the Tat complex	4	4	7.375090025984436e-07	b0627, b3839, b3838, b3836	9.084769986553555e-06
GO:0017148	negative regulation of translation	6	14	1.4920761623653937e-06	b3203, b3341, b3231, b3319, b3985, b2185	1.7580549565261813e-05
GO:0009061	anaerobic respiration	11	66	2.7111611292762898e-06	b1588, b1587, b1474, b0972, b2206, b1872, b2997, b3894, b2996, b0894, b0997	3.061352775141144e-05
GO:0005829	cytosol	54	1048	4.495126827997555e-06	b3984, b3203, b3306, b3309, b3294, b3304, b1089, b3298, b3321, b0460, b3983, b3320, b3305, b1716, b3065, b1494, b3341, b3303, b3985, b3894, b4200, b3316, b0528, b3297, b3986, b3310, b3231, b3319, b3924, b3637, b3314, b3186, b3165, b2606, b2687, b3230, b0023, b4483, b1719, b3317, b2162, b3342, b3315, b1848, b3308, b0435, b4203, b3636, b4202, b1019, b3836, b2185, b3936, b3296	4.8727174815493505e-05
GO:0051539	4 iron, 4 sulfur cluster binding	14	120	9.199437137178416e-06	b1588, b1587, b1474, b0972, b2206, b1671, b2481, b2997, b4072, b3894, b2996, b0894, b2205, b3990	9.588644092982118e-05
GO:0003729	mRNA binding	5	13	2.251494325545151e-05	b3986, b3341, b3231, b3314, b1716	0.00022598331934175404
GO:0042597	periplasmic space	11	82	2.3604017333684435e-05	b2206, b2435, b2997, b0286, b0123, b2817, b3894, b4412, b2996, b2205, b1019	0.00022845316776530291
GO:0000900	mRNA regulatory element binding translation repressor activity	3	3	2.545881076969827e-05	b3296, b1716, b1719	0.00023790819719269764
GO:0009977	proton motive force dependent protein transmembrane transporter activity	3	3	2.545881076969827e-05	b3839, b3838, b3836	0.00022997792395294106
GO:0008097	5S rRNA binding	3	3	2.545881076969827e-05	b3304, b2185, b3308	0.00022255928124478166
GO:0009055	electron transfer activity	10	72	4.149413599846436e-05	b1588, b1587, b1474, b0972, b2206, b1872, b2997, b3894, b0894, b0997	0.00035140346423699506
GO:0043093	FtsZ-dependent cytokinesis	7	35	5.744886524311043e-05	b0742, b2435, b2817, b0093, b3009, b3017, b0065	0.00047177704487524024
GO:0046677	response to antibiotic	11	102	0.0001813446937882343	b3311, b2617, b3319, b3303, b3342, b3315, b3636, b2254, b3296, b3305, b1719	0.0014454238828415147
GO:0005840	ribosome	3	5	0.00024365266475303004	b3342, b3341, b3231	0.0018865677756591756
GO:0009389	dimethyl sulfoxide reductase activity	3	6	0.0004767454173151875	b1588, b1587, b0894	0.003588833558122661
GO:0045947	negative regulation of translational initiation	3	7	0.0008162489035087472	b3984, b3296, b1719	0.005978471698672175
GO:1990145	maintenance of translational fidelity	3	7	0.0008162489035087472	b3303, b3342, b3296	0.005821143496075539
GO:0050626	trimethylamine-N-oxide reductase (cytochrome c) activity	2	2	0.0008720652958890296	b1872, b0997	0.006059735773998129
GO:0033797	selenate reductase activity	2	2	0.0008720652958890296	b1588, b1587	0.005908242379648176
GO:0009375	ferredoxin hydrogenase complex	2	2	0.0008720652958890296	b0972, b2997	0.00576413890697383
GO:0047111	formate dehydrogenase (cytochrome-c-553) activity	2	2	0.0008720652958890296	b1474, b3894	0.005626897504426834
GO:1902626	assembly of large subunit precursor of preribosome	2	3	0.0025652782661276926	b3185, b3315	0.016167218840014062
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	2	3	0.0025652782661276926	b3981, b3300	0.01579978204819556
GO:0006886	intracellular protein transport	2	3	0.0025652782661276926	b3981, b3300	0.015448675780457881
GO:0042256	cytosolic ribosome assembly	2	3	0.0025652782661276926	b3185, b3315	0.01511283500262184
GO:0008901	ferredoxin hydrogenase activity	2	4	0.005030933816184389	b0972, b2997	0.029008150301829138
GO:0043022	ribosome binding	4	27	0.007617595066526678	b3986, b3203, b3985, b3185	0.04300767214643187
GO:0044569	[Ni-Fe] hydrogenase complex	2	5	0.008222454583805291	b0972, b2997	0.0454752080043109
GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	2	5	0.008222454583805291	b2817, b2435	0.04456570384422468
GO:0042255	ribosome assembly	2	5	0.008222454583805291	b3315, b3319	0.043691866513945764
GO:1990063	Bam protein complex	2	5	0.008222454583805291	b2617, b0177	0.0428516383117545
GO:0019645	anaerobic electron transport chain	5	43	0.008258228670740797	b1474, b0972, b3894, b0894, b0997	0.042226037165485966

